,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
2922,2922,I192075417,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D4,270,,2019-09-19 12:36:00,2019,9,Thursday,12,Part Two,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.33421942, -71.07434616)"
2923,2923,I192075416,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,7,,2019-09-19 11:20:00,2019,9,Thursday,11,Part Three,BENNINGTON ST,42.38806754,-71.00194388,"(42.38806754, -71.00194388)"
2924,2924,I192075414,3115,Investigate Person,INVESTIGATE PERSON,B2,268,,2019-09-19 13:06:00,2019,9,Thursday,13,Part Three,ALBANY ST,42.33076942,-71.07766482,"(42.33076942, -71.07766482)"
2925,2925,I192075413,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,65,,2019-09-19 12:45:00,2019,9,Thursday,12,Part Three,CAMBRIDGE ST,42.36122324,-71.06593235,"(42.36122324, -71.06593235)"
2926,2926,I192075412,3201,Property Lost,PROPERTY - LOST,D14,807,,2019-09-19 11:00:00,2019,9,Thursday,11,Part Three,WESTERN AVE,42.36284173,-71.13792234,"(42.36284173, -71.13792234)"
2927,2927,I192075411,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,213,,2019-09-18 20:45:00,2019,9,Wednesday,20,Part Three,F ST,42.33760149,-71.04683835,"(42.33760149, -71.04683835)"
2928,2928,I192075410,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,187,,2019-09-18 12:57:00,2019,9,Wednesday,12,Part One,BELLFLOWER ST,42.32445145,-71.05810679999998,"(42.32445145, -71.05810680)"
2929,2929,I192075410,1402,Vandalism,VANDALISM,C6,187,,2019-09-18 12:57:00,2019,9,Wednesday,12,Part Two,BELLFLOWER ST,42.32445145,-71.05810679999998,"(42.32445145, -71.05810680)"
2931,2931,I192075408,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,317,,2019-09-19 12:17:00,2019,9,Thursday,12,Part Two,HUMBOLDT AVE,42.31262432,-71.08991596,"(42.31262432, -71.08991596)"
2932,2932,I192075406,617,Larceny,LARCENY THEFT FROM BUILDING,E18,503,,2019-09-17 17:17:00,2019,9,Tuesday,17,Part One,AMERICAN LEGION HWY,42.28544884,-71.11055934,"(42.28544884, -71.11055934)"
2933,2933,I192075405,3301,Verbal Disputes,VERBAL DISPUTE,C11,352,,2019-09-19 11:40:00,2019,9,Thursday,11,Part Three,JOSEPHINE ST,42.3005201,-71.06490653,"(42.30052010, -71.06490653)"
2934,2934,I192075404,613,Larceny,LARCENY SHOPLIFTING,E5,723,,2019-09-19 12:19:00,2019,9,Thursday,12,Part One,VFW PKWY,42.26623736,-71.16843346,"(42.26623736, -71.16843346)"
2935,2935,I192075403,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,623,,2019-09-16 15:00:00,2019,9,Monday,15,Part Three,BROOKLINE AVE,42.34826031,-71.09742803,"(42.34826031, -71.09742803)"
2936,2936,I192075402,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,355,,2019-09-19 12:49:00,2019,9,Thursday,12,Part Two,GIBSON ST,42.29755533,-71.05970909999998,"(42.29755533, -71.05970910)"
2937,2937,I192075401,3410,Towed,TOWED MOTOR VEHICLE,C6,226,,2019-09-19 11:35:00,2019,9,Thursday,11,Part Three,E FOURTH ST,42.33474924,-71.03631736,"(42.33474924, -71.03631736)"
2938,2938,I192075400,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,623,,2019-09-22 19:15:00,2019,9,Sunday,19,Part Three,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
2939,2939,I192075399,562,Other Burglary,BURGLARY - OTHER - NO FORCE,D4,167,,2019-09-18 21:00:00,2019,9,Wednesday,21,Part One,WAREHAM ST,42.33931449,-71.06748926,"(42.33931449, -71.06748926)"
2940,2940,I192075398,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B3,429,,2019-09-19 12:12:00,2019,9,Thursday,12,Part Three,HANNON ST,42.28260196,-71.08546505,"(42.28260196, -71.08546505)"
2941,2941,I192075396,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,369,,2019-09-17 23:55:00,2019,9,Tuesday,23,Part One,VICTORY RD,42.29652112,-71.05229661,"(42.29652112, -71.05229661)"
2942,2942,I192075395,3115,Investigate Person,INVESTIGATE PERSON,A15,38,,2019-09-17 05:00:00,2019,9,Tuesday,5,Part Three,EIGHTH ST,42.37474921,-71.05270605,"(42.37474921, -71.05270605)"
2943,2943,I192075394,3402,Service,ANIMAL INCIDENTS,E18,527,,2019-09-17 19:00:00,2019,9,Tuesday,19,Part Three,PRESCOTT ST,42.23480079,-71.13396522,"(42.23480079, -71.13396522)"
2944,2944,I192075392,3201,Property Lost,PROPERTY - LOST,E5,710,,2019-08-26 18:00:00,2019,8,Monday,18,Part Three,CENTRE TER,42.27265347,-71.15988781,"(42.27265347, -71.15988781)"
2945,2945,I192075391,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E18,512,,2019-09-19 12:26:00,2019,9,Thursday,12,Part Two,FAIRMOUNT AVE,42.25169697,-71.11738135,"(42.25169697, -71.11738135)"
2946,2946,I192075390,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,286,,2019-09-18 21:00:00,2019,9,Wednesday,21,Part Three,SOJOURNER TRUTH CT,42.3342682,-71.0849914,"(42.33426820, -71.08499140)"
2947,2947,I192075389,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,641,,2019-09-19 11:00:00,2019,9,Thursday,11,Part Three,GOODRICH RD,42.3157559,-71.11490084,"(42.31575590, -71.11490084)"
2948,2948,I192075388,2619,Prisoner Related Incidents,FUGITIVE FROM JUSTICE,D4,627,,2019-09-19 10:59:00,2019,9,Thursday,10,Part Two,PETERBOROUGH ST,42.34280177,-71.10069509999998,"(42.34280177, -71.10069510)"
2949,2949,I192075386,2629,Harassment,HARASSMENT,A1,96,,2018-04-09 08:43:00,2018,4,Monday,8,Part Two,ATLANTIC AVE,42.35526402,-71.05098788,"(42.35526402, -71.05098788)"
2950,2950,I192075385,423,Aggravated Assault,ASSAULT - AGGRAVATED,C6,178,,2019-09-19 11:38:00,2019,9,Thursday,11,Part One,MASSACHUSETTS AVE,42.33081031,-71.07024806,"(42.33081031, -71.07024806)"
2951,2951,I192075383,619,Larceny,LARCENY ALL OTHERS,D4,903,,2019-09-19 12:06:00,2019,9,Thursday,12,Part One,WASHINGTON ST,42.33438722,-71.07958852,"(42.33438722, -71.07958852)"
2952,2952,I192075382,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",B3,565,,2019-09-19 11:39:00,2019,9,Thursday,11,Part Three,CATBIRD CT,42.28813676,-71.09475747,"(42.28813676, -71.09475747)"
2953,2953,I192075380,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,405,,2019-08-23 16:30:00,2019,8,Friday,16,Part Three,DORCHESTER AVE,42.27273548,-71.06792411,"(42.27273548, -71.06792411)"
2954,2954,I192075379,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A15,60,,2019-09-19 11:31:00,2019,9,Thursday,11,Part Three,RUTHERFORD AVE,42.37167264,-71.06326413,"(42.37167264, -71.06326413)"
2955,2955,I192075378,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,330,,2019-09-19 10:51:00,2019,9,Thursday,10,Part Two,SEAVER ST,42.30455372,-71.08295366,"(42.30455372, -71.08295366)"
2956,2956,I192075376,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,41,,2019-09-17 16:00:00,2019,9,Tuesday,16,Part One,MOUNT VERNON ST,42.37515302,-71.05841364,"(42.37515302, -71.05841364)"
2958,2958,I192075374,2647,Other,THREATS TO DO BODILY HARM,D4,270,,2019-09-19 11:14:00,2019,9,Thursday,11,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
2959,2959,I192075374,613,Larceny,LARCENY SHOPLIFTING,D4,270,,2019-09-19 11:14:00,2019,9,Thursday,11,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
2960,2960,I192075374,613,Larceny,LARCENY SHOPLIFTING,D4,270,,2019-09-19 11:14:00,2019,9,Thursday,11,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
2961,2961,I192075372,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,186,,2019-09-18 13:00:00,2019,9,Wednesday,13,Part Three,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
2962,2962,I192075371,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,76,,2019-09-19 10:20:00,2019,9,Thursday,10,Part Three,CANAL ST,42.36394509,-71.05942841,"(42.36394509, -71.05942841)"
2963,2963,I192075370,2657,Other,VIOLATION - CITY ORDINANCE,D4,170,,2019-09-19 11:01:00,2019,9,Thursday,11,Part Two,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)"
2964,2964,I192075369,3410,Towed,TOWED MOTOR VEHICLE,B2,301,,2019-09-19 10:01:00,2019,9,Thursday,10,Part Three,BEECH GLEN ST,42.3246387,-71.09531354,"(42.32463870, -71.09531354)"
2965,2965,I192075368,2610,Other,TRESPASSING,A1,61,,2019-09-17 17:30:00,2019,9,Tuesday,17,Part Two,BEVERLY ST,42.36658726,-71.06019881,"(42.36658726, -71.06019881)"
2966,2966,I192075368,617,Larceny,LARCENY THEFT FROM BUILDING,A1,61,,2019-09-17 17:30:00,2019,9,Tuesday,17,Part One,BEVERLY ST,42.36658726,-71.06019881,"(42.36658726, -71.06019881)"
2967,2967,I192075367,3301,Verbal Disputes,VERBAL DISPUTE,E5,560,,2019-09-19 10:23:00,2019,9,Thursday,10,Part Three,POPLAR ST,42.28380231,-71.12836197,"(42.28380231, -71.12836197)"
2968,2968,I192075366,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,112,,2019-09-19 09:45:00,2019,9,Thursday,9,Part Three,ESSEX ST,42.35246671,-71.06167002,"(42.35246671, -71.06167002)"
2970,2970,I192075363,724,Auto Theft,AUTO THEFT,B2,329,,2019-09-17 10:51:00,2019,9,Tuesday,10,Part One,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
2971,2971,I192075363,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,329,,2019-09-17 10:51:00,2019,9,Tuesday,10,Other,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
2972,2972,I192075361,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,102,,2019-09-19 09:35:00,2019,9,Thursday,9,Part One,BROMFIELD ST,42.35698857,-71.06084937,"(42.35698857, -71.06084937)"
2973,2973,I192075360,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,280,,2019-09-19 10:22:00,2019,9,Thursday,10,Part One,DUDLEY ST,42.32863172,-71.08309899,"(42.32863172, -71.08309899)"
2974,2974,I192075359,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,321,,2019-09-19 10:34:00,2019,9,Thursday,10,Part Two,ELM HILL PARK,42.31286014,-71.08215899,"(42.31286014, -71.08215899)"
2975,2975,I192075358,3410,Towed,TOWED MOTOR VEHICLE,A7,24,,2019-09-19 08:11:00,2019,9,Thursday,8,Part Three,EUTAW ST,42.37949215,-71.03685008,"(42.37949215, -71.03685008)"
2976,2976,I192075357,801,Simple Assault,ASSAULT - SIMPLE,E13,307,,2019-09-19 10:12:00,2019,9,Thursday,10,Part Two,WASHINGTON ST,42.31615184,-71.09795135,"(42.31615184, -71.09795135)"
2977,2977,I192075356,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,A1,102,,2019-09-19 09:00:00,2019,9,Thursday,9,Part Three,BEACON ST,42.35782246,-71.06295166,"(42.35782246, -71.06295166)"
2978,2978,I192075355,3410,Towed,TOWED MOTOR VEHICLE,B3,425,,2019-09-19 08:57:00,2019,9,Thursday,8,Part Three,BABSON ST,42.27193751,-71.0921354,"(42.27193751, -71.09213540)"
2979,2979,I192075354,3201,Property Lost,PROPERTY - LOST,C11,341,,2019-09-17 10:20:00,2019,9,Tuesday,10,Part Three,BOWDOIN ST,42.30573977,-71.06762362,"(42.30573977, -71.06762362)"
2980,2980,I192075352,616,Larceny,LARCENY THEFT OF BICYCLE,D4,149,,2019-09-19 09:30:00,2019,9,Thursday,9,Part One,DARTMOUTH ST,42.34640381,-71.07551289,"(42.34640381, -71.07551289)"
2981,2981,I192075351,1402,Vandalism,VANDALISM,E13,572,,2019-09-19 09:53:00,2019,9,Thursday,9,Part Two,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
2982,2982,I192075350,3620,Other,REPORT AFFECTING OTHER DEPTS.,A7,9,,2019-09-19 09:29:00,2019,9,Thursday,9,Part Three,FAYWOOD AVE,42.39214603,-71.00893922,"(42.39214603, -71.00893922)"
2983,2983,I192075349,3301,Verbal Disputes,VERBAL DISPUTE,E18,521,,2019-09-19 09:45:00,2019,9,Thursday,9,Part Three,MAPLE ST,42.2533264,-71.12127557,"(42.25332640, -71.12127557)"
2984,2984,I192075348,3115,Investigate Person,INVESTIGATE PERSON,D4,156,,2019-09-19 07:47:00,2019,9,Thursday,7,Part Three,WORCESTER ST,42.33898333,-71.07748706,"(42.33898333, -71.07748706)"
2985,2985,I192075347,3410,Towed,TOWED MOTOR VEHICLE,A1,70,,2019-09-19 08:25:00,2019,9,Thursday,8,Part Three,MOUNT VERNON ST,42.35832312,-71.06568479,"(42.35832312, -71.06568479)"
2987,2987,I192075345,3410,Towed,TOWED MOTOR VEHICLE,E13,577,,2019-09-19 08:23:00,2019,9,Thursday,8,Part Three,AMORY ST,42.31715858,-71.1024688,"(42.31715858, -71.10246880)"
2988,2988,I192075342,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",A1,119,,2019-09-19 09:14:00,2019,9,Thursday,9,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
2989,2989,I192075342,3125,Warrant Arrests,WARRANT ARREST,A1,119,,2019-09-19 09:14:00,2019,9,Thursday,9,Part Three,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
2990,2990,I192075342,801,Simple Assault,ASSAULT - SIMPLE,A1,119,,2019-09-19 09:14:00,2019,9,Thursday,9,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
2991,2991,I192075342,2660,Other,OTHER OFFENSE,A1,119,,2019-09-19 09:14:00,2019,9,Thursday,9,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
2992,2992,I192075341,2610,Other,TRESPASSING,D4,171,,2019-09-19 06:00:00,2019,9,Thursday,6,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
2993,2993,I192075341,2405,Disorderly Conduct,DISORDERLY CONDUCT,D4,171,,2019-09-19 06:00:00,2019,9,Thursday,6,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
2994,2994,I192075341,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,171,,2019-09-19 06:00:00,2019,9,Thursday,6,Part One,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
2995,2995,I192075340,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,817,,2019-09-18 19:00:00,2019,9,Wednesday,19,Part One,WELLES AVE,42.28963220000001,-71.06490373,"(42.28963220, -71.06490373)"
2996,2996,I192075339,2647,Other,THREATS TO DO BODILY HARM,E5,558,,2019-09-18 14:50:00,2019,9,Wednesday,14,Part Two,CUMMINS HWY,42.28342716,-71.12422635,"(42.28342716, -71.12422635)"
2997,2997,I192075338,2647,Other,THREATS TO DO BODILY HARM,E5,558,,2019-09-18 12:45:00,2019,9,Wednesday,12,Part Two,CUMMINS HWY,42.28342716,-71.12422635,"(42.28342716, -71.12422635)"
2998,2998,I192075337,3301,Verbal Disputes,VERBAL DISPUTE,C11,817,,2019-09-19 09:19:00,2019,9,Thursday,9,Part Three,TALBOT AVE,42.2871482,-71.06493039,"(42.28714820, -71.06493039)"
2999,2999,I192075336,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,311,,2019-09-19 08:57:00,2019,9,Thursday,8,Part Two,CLIFFORD ST,42.31985444,-71.07972518,"(42.31985444, -71.07972518)"
3000,3000,I192075335,3208,Property Lost,PROPERTY - MISSING,D4,132,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,COMMONWEALTH AVE,42.35352153,-71.07283786,"(42.35352153, -71.07283786)"
3001,3001,I192075334,611,Larceny,LARCENY PICK-POCKET,A1,123,,2019-09-03 12:30:00,2019,9,Tuesday,12,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
3002,3002,I192075333,3410,Towed,TOWED MOTOR VEHICLE,A7,9,,2019-09-19 09:43:00,2019,9,Thursday,9,Part Three,FAYWOOD AVE,42.39214603,-71.00893922,"(42.39214603, -71.00893922)"
3003,3003,I192075332,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,A7,17,,2019-08-29 23:55:00,2019,8,Thursday,23,Part One,LEXINGTON ST,42.38069279,-71.02954916,"(42.38069279, -71.02954916)"
3004,3004,I192075330,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,108,,2019-09-19 08:19:00,2019,9,Thursday,8,Part One,MILK ST,42.35678908,-71.05652771,"(42.35678908, -71.05652771)"
3005,3005,I192075330,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,108,,2019-09-19 08:19:00,2019,9,Thursday,8,Part Two,MILK ST,42.35678908,-71.05652771,"(42.35678908, -71.05652771)"
3006,3006,I192075330,613,Larceny,LARCENY SHOPLIFTING,A1,108,,2019-09-19 08:19:00,2019,9,Thursday,8,Part One,MILK ST,42.35678908,-71.05652771,"(42.35678908, -71.05652771)"
3007,3007,I192075329,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,402,,2019-09-18 09:25:00,2019,9,Wednesday,9,Part One,FULLER ST,42.28248068,-71.06981187,"(42.28248068, -71.06981187)"
3008,3008,I192075328,3502,Missing Person Located,MISSING PERSON - LOCATED,B2,281,,2019-09-18 14:50:00,2019,9,Wednesday,14,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
3009,3009,I192075327,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,356,,2019-09-19 07:54:00,2019,9,Thursday,7,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
3010,3010,I192075326,2647,Other,THREATS TO DO BODILY HARM,B3,435,,2019-09-19 07:15:00,2019,9,Thursday,7,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
3011,3011,I192075326,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,435,,2019-09-19 07:15:00,2019,9,Thursday,7,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
3012,3012,I192075325,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,822,,2019-09-19 08:26:00,2019,9,Thursday,8,Part Three,CROWN POINT DR,42.2578406,-71.14813948,"(42.25784060, -71.14813948)"
3013,3013,I192075325,3115,Investigate Person,INVESTIGATE PERSON,E5,822,,2019-09-19 08:26:00,2019,9,Thursday,8,Part Three,CROWN POINT DR,42.2578406,-71.14813948,"(42.25784060, -71.14813948)"
3014,3014,I192075323,3001,Medical Assistance,DEATH INVESTIGATION,D14,768,,2019-09-15 08:13:00,2019,9,Sunday,8,Part Three,FANEUIL ST,42.3557137,-71.15532953,"(42.35571370, -71.15532953)"
3015,3015,I192075322,617,Larceny,LARCENY THEFT FROM BUILDING,C6,216,,2019-09-13 20:00:00,2019,9,Friday,20,Part One,W EIGHTH ST,42.33313016,-71.05145759,"(42.33313016, -71.05145759)"
3016,3016,I192075321,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,455,,2019-09-19 00:15:00,2019,9,Thursday,0,Part One,TRINITY TER,42.3013553,-71.07790746,"(42.30135530, -71.07790746)"
3017,3017,I192075321,1402,Vandalism,VANDALISM,B3,455,,2019-09-19 00:15:00,2019,9,Thursday,0,Part Two,TRINITY TER,42.3013553,-71.07790746,"(42.30135530, -71.07790746)"
3018,3018,I192075320,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,, ,,2019-09-18 14:01:00,2019,9,Wednesday,14,Part Three,,42.27882254,-71.06951915,"(42.27882254, -71.06951915)"
3019,3019,I192075319,3115,Investigate Person,INVESTIGATE PERSON,, ,,2019-09-19 07:30:00,2019,9,Thursday,7,Part Three,,42.30604707,-71.07820885,"(42.30604707, -71.07820885)"
3020,3020,I192075318,3502,Missing Person Located,MISSING PERSON - LOCATED,A7,23,,2019-09-18 06:15:00,2019,9,Wednesday,6,Part Three,LEXINGTON ST,42.37826778,-71.03601677,"(42.37826778, -71.03601677)"
3021,3021,I192075318,3501,Missing Person Reported,MISSING PERSON,A7,23,,2019-09-18 06:15:00,2019,9,Wednesday,6,Part Three,LEXINGTON ST,42.37826778,-71.03601677,"(42.37826778, -71.03601677)"
3022,3022,I192075316,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,D14,803,,2019-09-19 07:38:00,2019,9,Thursday,7,Part Three,HANO ST,42.35548407,-71.13741814,"(42.35548407, -71.13741814)"
3023,3023,I192075315,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,822,,2019-09-19 07:00:00,2019,9,Thursday,7,Part One,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
3024,3024,I192075315,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,822,,2019-09-19 07:00:00,2019,9,Thursday,7,Part Two,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
3025,3025,I192075314,3301,Verbal Disputes,VERBAL DISPUTE,E18,548,,2019-09-19 07:06:00,2019,9,Thursday,7,Part Three,GREW HILL RD,42.27124168,-71.12997162,"(42.27124168, -71.12997162)"
3026,3026,I192075313,3115,Investigate Person,INVESTIGATE PERSON,B2,328,,2019-09-18 05:42:00,2019,9,Wednesday,5,Part Three,CEYLON ST,42.31082341,-71.07267019,"(42.31082341, -71.07267019)"
3028,3028,I192075311,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,A1,77,,2019-09-19 07:00:00,2019,9,Thursday,7,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
3029,3029,I192075309,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,165,,2019-09-19 06:30:00,2019,9,Thursday,6,Part Two,HARRISON AVE,42.34285014,-71.06516235,"(42.34285014, -71.06516235)"
3030,3030,I192075307,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E13,304,,2019-09-19 05:15:00,2019,9,Thursday,5,Other,COLUMBUS AVE,42.31771534,-71.09823049,"(42.31771534, -71.09823049)"
3031,3031,I192075306,3410,Towed,TOWED MOTOR VEHICLE,E13,607,,2019-09-19 05:34:00,2019,9,Thursday,5,Part Three,EVERGREEN ST,42.32423224,-71.11070231,"(42.32423224, -71.11070231)"
3032,3032,I192075305,3114,Investigate Property,INVESTIGATE PROPERTY,B2,181,,2019-09-19 05:33:36,2019,9,Thursday,5,Part Three,WOODWARD AVE,42.3250287,-71.07341448,"(42.32502870, -71.07341448)"
3034,3034,I192075302,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,117,,2019-09-19 04:23:00,2019,9,Thursday,4,Part Three,BEACH ST,42.35152813,-71.06248241,"(42.35152813, -71.06248241)"
3035,3035,I192075300,3410,Towed,TOWED MOTOR VEHICLE,B3,453,,2019-09-19 01:36:00,2019,9,Thursday,1,Part Three,GAYLORD ST,42.29839370000001,-71.07395875,"(42.29839370, -71.07395875)"
3036,3036,I192075299,2905,Violations,VAL - OPERATING WITHOUT LICENSE,C11,347,,2019-09-19 02:49:00,2019,9,Thursday,2,Part Two,DORCHESTER AVE,42.30636007,-71.05870799,"(42.30636007, -71.05870799)"
3037,3037,I192075298,3115,Investigate Person,INVESTIGATE PERSON,B2,301,,2019-09-19 02:37:00,2019,9,Thursday,2,Part Three,HIGHLAND ST,42.32599863,-71.09318420000002,"(42.32599863, -71.09318420)"
3038,3038,I192075297,3114,Investigate Property,INVESTIGATE PROPERTY,D14,774,,2019-09-19 02:42:00,2019,9,Thursday,2,Part Three,CHESTNUT HILL AVE,42.33914604,-71.15442808,"(42.33914604, -71.15442808)"
3039,3039,I192075294,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,D14,795,,2019-09-19 02:17:00,2019,9,Thursday,2,Part Three,BRIGHTON AVE,42.35339757,-71.1362192,"(42.35339757, -71.13621920)"
3040,3040,I192075293,1402,Vandalism,VANDALISM,A1,102,,2019-09-19 01:51:00,2019,9,Thursday,1,Part Two,BROMFIELD ST,42.35698857,-71.06084937,"(42.35698857, -71.06084937)"
3041,3041,I192075293,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,2019-09-19 01:51:00,2019,9,Thursday,1,Part Two,BROMFIELD ST,42.35698857,-71.06084937,"(42.35698857, -71.06084937)"
3042,3042,I192075293,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,102,,2019-09-19 01:51:00,2019,9,Thursday,1,Part One,BROMFIELD ST,42.35698857,-71.06084937,"(42.35698857, -71.06084937)"
3043,3043,I192075290,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,493,,2019-09-19 01:08:00,2019,9,Thursday,1,Part Three,RIVER ST,42.26090426,-71.11456834,"(42.26090426, -71.11456834)"
3044,3044,I192075183,724,Auto Theft,AUTO THEFT,C11,244,,2019-09-17 20:00:00,2019,9,Tuesday,20,Part One,TAFT ST,42.3173029,-71.05793388,"(42.31730290, -71.05793388)"
3045,3045,I192075289,2647,Other,THREATS TO DO BODILY HARM,D14,811,,2019-09-19 00:56:00,2019,9,Thursday,0,Part Two,WESTFORD ST,42.36233801,-71.13407429,"(42.36233801, -71.13407429)"
3046,3046,I192075287,3501,Missing Person Reported,MISSING PERSON,B3,418,,2019-09-18 23:20:00,2019,9,Wednesday,23,Part Three,MILTON AVE,42.28272786,-71.07619199,"(42.28272786, -71.07619199)"
3047,3047,I192075286,2906,Violations,VAL - OPERATING UNREG/UNINS  CAR,E5,941,,2019-09-19 00:20:00,2019,9,Thursday,0,Part Two,ARCHDALE RD,42.2917221,-71.1196546,"(42.29172210, -71.11965460)"
